Date,Avg Score,Avg Quality,Avg Duration,Avg Sleep Need,Avg Bedtime,Avg Wake Time
Sep 7-11,76,Fair,7h 54min,8h 4min,0:20,8:59
Aug 31 - Sep 6,73,Fair,6h 51min,8h 17min,0:57,8:42
Aug 24-30,63,Fair,6h 54min,8h 28min,0:19,8:09
Aug 17-23,70,Fair,7h 35min,8h 10min,0:24,9:03
Aug 10-16,62,Fair,6h 23min,8h 46min,1:47,9:03
Aug 3-9,72,Fair,6h 35min,8h 1min,0:35,7:48
Jul 27 - Aug 2,68,Fair,6h 33min,8h 19min,0:25,7:41
Jul 20-26,68,Fair,6h 55min,7h 56min,0:52,8:39
Jul 13-19,73,Fair,6h 39min,8h 15min,1:30,8:47
Jul 6-12,67,Fair,6h 19min,8h 33min,1:07,8:18
Jun 29 - Jul 5,72,Fair,7h 1min,8h 13min,0:28,8:13
Jun 22-28,65,Fair,6h 44min,8h 21min,0:36,8:19
Jun 15-21,65,Fair,7h 12min,8h 24min,0:40,8:55
