Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Multisport,2026-09-12 11:01:15,false,"Challenge Almere-Amsterdam 2026","94,17","2067",03:07:55,152,163,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indoor Cycling,2026-09-09 17:08:41,false,"Endurance ride","18,78","342",00:45:03,110,120,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indoor Cycling,2026-09-09 16:12:30,false,"Endurance ride","11,24","204",00:26:53,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-09-08 12:35:17,false,"Diemen - Recovery run","8,13","540",00:45:03,145,156,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-09-07 15:49:39,false,"Diemen - Sharpening Brick Run w/ threshol","5,92","397",00:30:05,164,176,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indoor Cycling,2026-09-07 13:12:34,false,"Sharpening Brick Ride - 6 x 3' Z4","24,31","512",01:02:34,128,152,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Open Water Swimming,2026-09-06 17:09:45,false,"Diemen Open Water Swimming","1,52","269",00:35:02,120,136,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-09-05 16:49:07,false,"Amsterdam - Brick run - Race Intensity (70.3","9,64","635",00:45:02,164,178,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indoor Cycling,2026-09-05 10:57:31,false,"Race intensity (70.3) - 3 x 20' [KEY WORKOUT]","44,12","936",01:45:06,123,142,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-09-03 18:12:13,false,"Diemen - Recovery run","6,13","410",00:32:14,150,160,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Open Water Swimming,2026-09-03 14:28:03,false,"Diemen Open Water Swimming","1,52","238",00:34:05,116,132,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indoor Cycling,2026-09-02 11:44:48,false,"Endurance ride","32,08","760",01:30:21,123,143,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
